158;THPT Nguyễn Huệ;1;Hà Nội;Khu đô thị Nam Cường, ngõ 234 Hoàng Quốc Việt, quận Bắc Từ Liêm, TP Hà Nội;3
159;THCS và THPT Dewey;1;Hà Nội;Tầng 1,3,4,5 Tòa A, toà B, C thuộc ô đất H3-LC khu đô thi tây hồ Tây, phường Xuân Tảo, quận Bắc Từ Liêm;3
160;THPT Tây Hà Nội;1;Hà Nội;Tổ dân phố 12, Phố Kiều Mai, Phương Phúc Diễn, quận Bắc Từ Liêm, TP Hà Nội;3
161;TH,THCS và THPT Everest;1;Hà Nội;Khu đô thị mới Nghĩa Đô, ngõ 106 đường Hoàng Quốc Việt, Phường Cổ Nhuế 1, quận Bắc Từ Liêm, TP Hà Nội;3
162;THPT Lê Thánh Tông (Từ 12/2013 đến 9/2015);1;Hà Nội;Số 154 Phạm Văn Đồng, quận Bắc Từ Liêm- TP Hà Nội;3
163;THPT Việt Hoàng ( trước 29/12/2023);1;Hà Nội;Km12 đường Cầu Diễn, phường Phúc Diễn, quận Bắc Từ Liêm, TP Hà Nội;3
164;CĐ nghề Văn Lang Hà Nội;1;Hà Nội;Phường Đông Ngạc, Quận Bắc Từ Liêm, TP Hà Nội;3
165;TC nghề Dân lập Quang Trung;1;Hà Nội;104 Hoàng Quốc Việt, X. Cổ Nhuế, Quận Bắc Từ Liêm, TP Hà Nội;3
166;TC nghề Giao thông Công chính Hà Nội;1;Hà Nội;Phường Minh Khai, Quận Bắc Từ Liêm, TP Hà Nội;3
167;TC nghề Giao thông Vận tải Thăng Long;1;Hà Nội;Xóm 1, xã Đông Ngạc, Quận Bắc Từ Liêm, TP Hà Nội;3
168;THPT Ngọc Hồi;1;Hà Nội;Xã Ngũ Hiệp, huyện Thanh Trì, TP Hà Nội;2
169;THPT Ngô Thì Nhậm;1;Hà Nội;Xã Tả Thanh Oai, huyện Thanh Trì, TP Hà Nội;2
170;THPT Đông Mỹ;1;Hà Nội;Xã Đông Mỹ, huyện Thanh Trì, TP Hà Nội;2
171;THPT Nguyễn Quốc Trinh;1;Hà Nội;xã Đại Áng, huyện Thanh Trì, thành phố Hà Nội;2
172;THPT Lê Thánh Tông;1;Hà Nội;Thôn Việt Yên, xã Ngũ Hiệp, huyện Thanh Trì, TP Hà Nội;2
173;THPT Lương Thế Vinh (Từ 9/2015 đến 4/2017);1;Hà Nội;Thôn Yên Xá, xã Tân Triều, huyện Thanh Trì, TP Hà Nội;2
174;GDNN-GDTX huyện Thanh Trì;1;Hà Nội;Km 2,5 đường Phan Trọng Tuệ, Xã Thanh Liệt, Huyện Thanh Trì, TP Hà Nội;2
175;GDTX Đông Mỹ;1;Hà Nội;Xã Đông Mỹ- Huyện Thanh Trì- TP Hà Nội;2
176;GDTX Thanh Trì;1;Hà Nội;Km 2,5 đường Phan Trọng Tuệ- Xã Thanh Liệt- Huyện Thanh Trì- TP Hà Nội;2
177;TC nghề số 18;1;Hà Nội;Huỳnh Cung, Xã Tam Hiệp, Huyện Thanh trì, TP Hà Nội;2
178;TC nghề T thục Formach;1;Hà Nội;Thị trấn Văn Điển, Huyện Thanh trì, TP Hà Nội;2
179;THPT Cao Bá Quát-Gia Lâm;1;Hà Nội;Số 57 đường Cổ Bi, Xã Cổ Bi, Huyện Gia Lâm, TP Hà Nội;2
180;THPT Dương Xá;1;Hà Nội;Xã Dương Xá, huyện Gia Lâm, TP Hà Nội;2
181;THPT Nguyễn Văn Cừ;1;Hà Nội;Thôn Thuận Tốn, xã Đa Tốn, huyện Gia Lâm, TP Hà Nội;2
182;THPT Yên Viên;1;Hà Nội;Thị trấn Yên Viên, huyện Gia Lâm, TP Hà Nội;2
183;THPT Bắc Đuống;1;Hà Nội;Số 133 Đặng Phúc Thông, xã Yên Thường, huyện Gia Lâm, TP Hà Nội;2
184;THPT Lê Ngọc Hân;1;Hà Nội;Số 28/622 đường Hà Huy Tập, thị trấn Yên Viên, huyện Gia Lâm, TP Hà Nội;2
185;THPT Lý Thánh Tông;1;Hà Nội;Đường Nguyễn Bình, xã Dương Xá, huyện Gia Lâm, TP Hà Nội;2
186;THPT Tô Hiệu-Gia Lâm;1;Hà Nội;Số 163 đường Ỷ Lan, xã Phú Thị, huyện Gia Lâm, TP Hà Nội;2
187;TH,THCS&THPT Vinschool Ocean Park;1;Hà Nội;Lô đất B3-TH01, B1-CS01, PT-02, Khu đô thị Gia Lâm, thị trấn Trâu Quỳ, huyện Gia Lâm, TP Hà Nội;2
